"Тема","Стихи"
"45 стихов о Божьей защите","1 Коринфянам 13:6-7; 1 Коринфянам 3:17; 2 Тимофею 4:18; 2 Царств 22:31; 2 Царств 22:32;  Второзаконие 31:6; Евреям 13:6; Ефесянам 6:11; Ефесянам 6:13; Иов 1:12; Исаия 1:17; Исаия 46:4; Исаия 54:17; Исход 14:14; Матфея 26:53; Матфея 6:13; Наум 1:7; Откровение 7:16-17; Притчи 18:11; Притчи 27:12; Притчи 2:7; Притчи 2:8; Притчи 30:5; Притчи 4:23; Псалтирь 117:6; Псалтирь 117:8; Псалтирь 118:114; Псалтирь 145:9; Псалтирь 15:1; Псалтирь 15:8; Псалтирь 17:31; Псалтирь 17:36-37; Псалтирь 31:7; Псалтирь 33:23; Псалтирь 39:12; Псалтирь 3:4; Псалтирь 45:2; Псалтирь 58:17; Псалтирь 5:13; Псалтирь 61:3; Псалтирь 61:7; Псалтирь 90:4; Псалтирь 9:10; Римлянам 8:31; Филиппийцам 4:13"
"Библия о воспитании"," Второзаконие 11:19; Ефесянам 6:4; Притчи 13:25; Притчи 19:18; Притчи 22:15; Притчи 22:6; Притчи 23:13-14; Притчи 29:15; Притчи 29:17; Притчи 29:18; Притчи 3:1-2; Притчи 4:1-5; Псалтирь 77:3-7"
"Благодарение","1 Фессалоникийцам 5:17-18; Аввакум 3:17; Аввакум 3:18; Аввакум 3:19;  Евреям 13:15; Ефесянам 5:20; Иоанна 11:41; Колоссянам 2:7; Колоссянам 3:17; Петра 1:3; Псалтирь 102:2; Псалтирь 117:21; Псалтирь 21:4; Псалтирь 31:11; Псалтирь 41:6; Псалтирь 41:9; Псалтирь 49:14-15; Псалтирь 49:23; Псалтирь 51:11; Псалтирь 55:11; Псалтирь 56:10; Псалтирь 56:6; Псалтирь 58:17; Псалтирь 62:5; Псалтирь 62:6; Псалтирь 63:11; Псалтирь 70:14; Псалтирь 85:12; Псалтирь 85:13; Филиппийцам 4:6"
"В преклонных летах","2 Коринфянам 12:9; Бытие 21:5; Бытие 24:1;  Второзаконие 7:15; Иеремия 17:7-8; Исаия 46:4; Исаия 53:4; Притчи 18:15; Псалтирь 70:17-18; Псалтирь 70:9; Псалтирь 91:13-16; Римлянам 4:19-21"
"Воля Бога для человека","1 Иоанна 2:27; 1 Коринфянам 2:9; 1 Паралипоменон 28:20; 1 Петра 4:10; 1 Петра 4:2; 1 Петра 5:10; 1 Фессалоникийцам 5:18; 1 Фессалоникийцам 5:24; 2 Паралипоменон 15:2; 2 Царств 22:33;  Второзаконие 13:4; Деяния 2:28; Евреям 10:7; Евреям 11:8; Евреям 13:21; Екклесиаст 11:8; Екклесиаст 8:5; Есфирь 4:14; Ефесянам 2:10; Ефесянам 5:17; Иеремия 10:23; Иеремия 17:5; Иеремия 17:6; Иеремия 29:11; Иеремия 33:3; Иоанна 10:4; Иоанна 10:5; Иоанна 15:6; Иоанна 16:13; Иов 22:28; Иов 5:17; Исаия 26:4; Исаия 28:16; Исаия 30:21; Исаия 48:17; Исаия 57:2; Колоссянам 1:9; Марка 14:36; Матфея 6:10; Матфея 6:33; Осия 12:6; Притчи 10:24; Притчи 10:29; Притчи 12:28; Притчи 14:12; Притчи 14:14; Притчи 14:2; Притчи 14:8; Притчи 15:21; Притчи 15:24; Притчи 16:32; Притчи 16:33; Притчи 16:9; Притчи 19:21; Притчи 19:3; Притчи 22:29; Притчи 23:18; Притчи 29:26; Притчи 3:5; Притчи 3:6; Притчи 4:18; Притчи 4:29; Псалтирь 113:17; Псалтирь 137:8; Псалтирь 142:8; Псалтирь 144:19; Псалтирь 15:11; Псалтирь 15:5; Псалтирь 17:33; Псалтирь 18:15; Псалтирь 19:5; Псалтирь 1:1; Псалтирь 1:6; Псалтирь 22:1; Псалтирь 22:3; Псалтирь 24:10; Псалтирь 24:12; Псалтирь 24:14; Псалтирь 24:4; Псалтирь 24:5; Псалтирь 24:9; Псалтирь 30:4; Псалтирь 31:8; Псалтирь 36:3; Псалтирь 36:34; Псалтирь 36:37; Псалтирь 36:4; Псалтирь 36:5; Псалтирь 36:7; Псалтирь 54:23; Псалтирь 5:9; Псалтирь 61:8; Псалтирь 67:4; Псалтирь 72:23; Псалтирь 72:24; Псалтирь 72:28; Псалтирь 84:14; Псалтирь 85:11; Римлянам 12:2; Филиппийцам 2:13"
"Гордыня","1 Коринфянам 10:12; 1 Коринфянам 10:24; 1 Коринфянам 8:1; 1 Петра 5:5; 1 Царств 15:23; 2 Коринфянам 10:4-5; 2 Паралипоменон 26:16;  Второзаконие 8:11; Второзаконие 8:17; Екклесиаст 7:16; Екклесиаст 7:8; Ефесянам 2:8-9; Иакова 4:16; Иезекииль 28:5; Иеремия 9:23; Иов 5:13; Исаия 10:13; Исаия 10:14; Луки 14:11; Притчи 11:2; Притчи 14:21; Притчи 14:3; Притчи 14:30; Притчи 15:1; Притчи 15:25; Притчи 16:18; Притчи 16:5; Притчи 17:19; Притчи 18:13; Притчи 27:2; Притчи 28:25; Притчи 29:23; Притчи 6:16-17; Притчи 8:13; Псалтирь 61:10; Псалтирь 61:11; Псалтирь 74:6-8; Римлянам 12:16; Римлянам 12:2; Римлянам 2:3; Софония 2:1; Софония 2:3; Филиппийцам 2:3"
"Для нуждающихся в работе","1Паралипоменон 22:12-13; 2Коринфянам 9:8; Бытие 39:2-4; Бытие 39:5;  Второзаконие 28:11-12; Второзаконие 28:8; Второзаконие 8:18; Исайя 48:15; Притчи 3:5-6; Притчи 3:9-10"
"Дух Святой","1 Иоанна 4:13; 1 Коринфянам 12:4; 1 Коринфянам 2:12; 1 Коринфянам 6:19-20; 2 Коринфянам 3:17;  Галатам 5:22-23; Деяния 10:38; Деяния 1:8; Деяния 2:38; Деяния 2:4; Иакова 4:5; Иоанна 14:16-17; Иоанна 14:26; Иоанна 15:26; Иоанна 16:13; Иоанна 16:14; Иоанна 16:8-9; Иоанна 7:38-39; Луки 11:13; Луки 4:18; Римлянам 8:14"
"Защита Бога","1 Иоанна 3:9; 2 Паралипоменон 16:9; Амос 5:4;  Второзаконие 28:7; Второзаконие 2:7; Второзаконие 32:10; Второзаконие 32:11; Галатам 3:13; Деяния 12:11; Деяния 13:39; Екклесиаст 8:5; Ефесянам 3:20; Иакова 4:7; Иоанна 8:36; Исаия 30:18; Исаия 30:19; Исаия 35:4; Исаия 41:10; Исаия 41:11; Исаия 41:12; Исаия 41:9; Исаия 42:6; Исаия 42:7; Исаия 49:10; Исаия 49:15; Исаия 49:26; Исаия 50:7; Исаия 50:9; Исаия 51:12; Исаия 51:7; Исаия 51:8; Исаия 8:12; Луки 10:19; Луки 18:7; Луки 18:8; Матфея 18:18; Наум 1:7; Неемия 1:9; Осия 12:6; Плач Иеремии 3:22; Плач Иеремии 3:23; Притчи 10:22; Притчи 10:30; Притчи 11:8; Притчи 12:21; Притчи 12:7; Притчи 1:33; Псалтирь 102:6; Псалтирь 106:13; Псалтирь 106:28; Псалтирь 107:14; Псалтирь 113:18; Псалтирь 137:7; Псалтирь 144:14; Псалтирь 145:5; Псалтирь 146:11; Псалтирь 17:31; Псалтирь 17:32; Псалтирь 17:47; Псалтирь 17:49; Псалтирь 21:6; Псалтирь 24:15; Псалтирь 30:21; Псалтирь 31:10; Псалтирь 31:7; Псалтирь 32:18; Псалтирь 32:19; Псалтирь 32:20; Псалтирь 33:18; Псалтирь 33:20; Псалтирь 36:39; Псалтирь 49:15; Псалтирь 54:17; Псалтирь 54:18; Псалтирь 54:19; Псалтирь 54:24; Псалтирь 55:10; Псалтирь 55:14; Псалтирь 59:13; Псалтирь 59:14; Псалтирь 61:3; Псалтирь 70:21; Псалтирь 80:7; Псалтирь 80:8; Псалтирь 90:10; Псалтирь 90:12; Псалтирь 90:13; Псалтирь 90:14; Псалтирь 90:15; Псалтирь 90:3; Псалтирь 90:9; Псалтирь 93:22; Псалтирь 93:23; Римлянам 3:28; Римлянам 5:17"
"Искушения","1 Коринфянам 10:12; 1 Коринфянам 10:13; 1 Петра 1:6; 2 Коринфянам 4:17;  Иакова 1:12; Иакова 1:13; Иакова 3:14; Иеремия 17:10; Иов 23:10; Луки 21:19; Луки 21:34; Марка 8:33; Матфея 6:13; Притчи 23:17; Псалтирь 140:4; Псалтирь 18:13; Псалтирь 18:14; Римлянам 1:21"
"Исповедания и места Писания о десятине","1 Коринфянам 9:13-14; 1 Паралипоменон 29:14; 2 Коринфянам 8:12; 2 Коринфянам 9:7; 3 Царств 17:16; Аггей 1:9; Бытие 14:20; Бытие 28:22;  Второзаконие 14:22; Второзаконие 14:22-23; Второзаконие 28:11; Второзаконие 28:8; Второзаконие 8:18; Екклезиаст 11:1; Левит 27:30; Малахия 3:10; Малахия 3:8; Матфея 22:21; Матфея 6:21; Притчи 3:9; Псалтирь 23:1; Филиппийцам 4:19; Числа 18:21"
"Исповедания о Божьей защите","2 Тимофею 1:7;  Второзаконие 28:7; Второзаконие 31:6; Исаи 41:10; Притчи 18:11; Притчи 29:25; Псалом 17:47; Псалом 22:4; Псалом 26:1; Псалом 31:7; Псалом 32:20; Псалом 36:39; Псалом 3:6; Псалом 49:15; Псалом 4:9; Псалом 54:17; Псалом 61:7; Псалом 90:1; Псалтирь 22:1-6; Царств 17:39"
"Исповедания о преуспевании","2 Коринфянам 8:9; 2 Коринфянам 9:10-11; 2 Коринфянам 9:6-7; 2 Коринфянам 9:7; 2 Коринфянам 9:8; 3 Царств 17:12-16; Бытие 14:20;  Второзаконие 28:11; Второзаконие 28:12; Второзаконие 28:5; Второзаконие 28:8; Второзаконие 8:14; Галатам 6:6; Галатам 6:9; Деяния  20:35; Евреям 7:5; Екклесиаст 11:1; Иеремии 17:7-8; Иисус Навин 1:8; Левит 27:30; Луки 12:15; Луки 6:38; Малахия 3:10; Марка 12:41; Притчи 10:22; Притчи 11:24; Притчи 19:17; Притчи 28:27; Притчи 3:5-6; Притчи 3:9; Псалом 1:1-3; Псалом 22:1-3; Псалом 36:16-18"
"Исповедания о семье","1 Коринфянам 11:3; 1 Коринфянам 13:5; 1 Петра 3:1-4; 1 Петра 3:7; Бытие 1:28;  Деяния 16:31; Евреям 12:14; Екклесиаст 4:12; Ефесянам 5:22; Ефесянам 5:25; Иеремия 17:7-8; Иеремия 29:11; Иисус Навин 24:15; Колоссянам 3:18; Колоссянам 3:19; Луки 11:28; Луки 6:47-48; Матфея 19:9; Матфея 5:14-16; Песни Песней 8:7; Притчи 12:4; Притчи 14:1; Притчи 15:6; Притчи 1:7; Притчи 20:7; Притчи 24:3; Притчи 31:10-12; Притчи 31:30; Притчи 3:33; Псалом 111:1-3; Псалом 118:165; Псалтирь 126:1; Псалтирь 1:1-2"
"Исповедания о спасении","1 Петра 2:25; 1 Тимофею 2:4; 2 Коринфянам 7:10; 2 Петра 3:9;  Деяния 16:31; Ефесянам 2:8-9; Иакова 1:21; Иезекииль 33:11; Иезекииль 36:26; Иисус Навин 24:15; Иоанна 10:10; Иоанна 3:16; Иоанна 3:17; Исаия 49:25; Исаия 54:13; Луки 13:21; Луки 18:27; Луки 19:10; Псалом 111:1-2; Псалом 33:7; Римлянам 5:7-8"
"Исповедания об исцелении","Бытие 15:15;  Второзаконие 7:15; Галатам 3:13; Иеремия 33:6; Исаия 38:16; Исаия 53:4-5; Исход 15:26; Исход 23:25-26; Малахия 4:2; Притчи 16:24; Притчи 17:22; Притчи 3:8; Притчи 4:10; Притчи 4:22; Псалом 102:3-4; Псалом 106:20; Псалом 117:17; Псалом 29:3-4; Псалом 90:10; Псалом 90:14-16"
"Исцеление","Амос 5:4; Бытие 15:15;  Второзаконие 11:21; Второзаконие 23:5; Второзаконие 33:25; Второзаконие 7:15; Галатам 3:13; Иезекииль 34:16; Иезекииль 37:5; Иезекииль 47:9; Иеремия 30:17; Иеремия 33:6; Иоанна 4:50; Иоанна 5:8-9; Иов 33:25; Исаия 32:3; Исаия 35:6; Исаия 38:16; Исаия 40:29; Исаия 40:31; Исаия 46:4; Исаия 53:10; Исаия 53:4; Исаия 53:5; Исаия 57:19; Исаия 58:8; Исход 12:13; Исход 15:26; Исход 23:25-26; Малахии 4:2; Марк 1:34; Марк 5:34; Марка 1:31; Матфей 4:24; Неемия 13:2; Неемия 8:10; Притчи 15:30; Притчи 16:24; Притчи 17:22; Притчи 3:8; Притчи 4:10; Притчи 4:22; Псалом 106:20; Псалом 117:17; Псалом 28:11; Псалом 29:3-4; Псалом 40:3; Псалом 42:5; Псалом 90:10; Псалом 90:16"
"Когда вас злословят","1 Петра 2:21-23; 2 Тимофею 3:12-14;  Евреям 12:3; Иоанна 16:33; Исайя 53:7; Псалтирь 141:5-7; Псалтирь 33:14-15; Псалтирь 33:19-20; Псалтирь 36:5-6; Псалтирь 37:13-16"
"Крещение Святым Духом","1 Коринфянам 14:14; 1 Коринфянам 14:15; 1 Коринфянам 14:16; 1 Коринфянам 14:2; 1 Коринфянам 14:22; 1 Коринфянам 14:26; 1 Коринфянам 14:4;  Деяния 1:5; Деяния 1:8; Деяния 2:3-4; Иуды 1:20; Римлянам 8:26"
"Кто я во Христе?","1 Иоанна 5:18; 1 Коринфянам 2:16; 1 Коринфянам 6:19; 1 Петра 1:23; 1Петра 2:9; 2 Коринфянам 5:17;  Галатам 3:13; Ефесянам 1:17; Ефесянам 1:18-19; Ефесянам 1:5; Ефесянам 1:7; Ефесянам 2:10; Филиппийцам 2:5"
"Любовь","1 Иоанна 2:10; 1 Иоанна 3:16; 1 Иоанна 3:18; 1 Иоанна 3:23; 1 Иоанна 4:11; 1 Иоанна 4:16-21; 1 Иоанна 4:7-8; 1 Иоанна 5:1-2; 1 Коринфянам 13:13; 1 Коринфянам 13:4-8; 1 Коринфянам 14:1; 1 Коринфянам 16:14; 1 Коринфянам 8:1; 1 Петра 1:22; 1 Петра 4:8; 1 Тимофею 1:5; 2 Тимофею 1:7; 2 Фессалоникийцам 3:5;  Второзаконие 11:1; Галатам 5:14; Галатам 5:22; Ефесянам 3:18-19; Ефесянам 5:2; Ефесянам 5:25; Иеремия 31:3; Иоанна 13:34; Иоанна 13:35; Иоанна 15:12; Иоанна 15:17; Иоанна 15:9-10; Иоанна 3:16; Колоссянам 3:14; Луки 6:27; Луки 6:35; Марка 12:30-31; Марка 12:33; Матфея 22:37-39; Матфея 43:46; Матфея 5:44; Матфея 7:12; Песнь Песней 2:4; Песнь Песней 8:7; Притчи 10:12; Римлянам 12:9; Римлянам 13:10; Римлянам 8:38-39"
"Матерям","Бытие 21:19;  Галатам 6:9; Иакова 3:17; Иоанна 16:22; Исаия 30:18; Исаия 40:11; Исаия 41:13; Исаия 66:13; Притчи 22:6; Притчи 3:5; Псалом 126:3-5; Псалом 26:14; Псалом 33:19; Псалом 45:11; Филиппийцам 4:6-7"
"Молитва за детей","Бытие 17:7;  Второзаконие 28:4; Второзаконие 30:19; Второзаконие 30:6; Второзаконие 6:6-7; Галатам 3:29; Деяния 16:31; Деяния 2:39; Ефесянам 6:1-3; Ефесянам 6:4; Иакова 1:20; Иакова 1:5; Иеремии 29:11; Исаия 44:3-5; Исаия 49:25; Исаия 54:13; Исаия 59:21; Исаия 61:6; Исаия 65:23; Исаия 66:22; Притчи 11:21; Притчи 1:10; Притчи 20:7; Притчи 22:6; Притчи 3:1-4; Притчи 4:1; Псалом 111:1-2; Псалом 111:2; Псалом 113:20-22; Псалом 126:3; Псалом 1:1-3; Псалом 21:31; Псалтирь 36:25; Титу 2:11-12"
"Мужчинам","1 Паралипоменон 22:12-13; 1 Петра 5:6-7; 1 Фессалоникийцам 5:16-18; 2 Коринфянам 9:10-11; 2 Коринфянам 9:6-7; 2 Тимофею 1:7;  Второзаконие 28:11-12; Иеремия 29:11; Иеремия 29:12-13; Иисуса Навина 1:8; Малахия 3:10; Притчи 3:5-6; Псалтирь 111:1-3; Псалтирь 1:1-3; Псалтирь 33:9-15; Псалтирь 36:3-4; Псалтирь 51:10; Римлянам 8:28-29; Филиппийцам 4:6-7"
"Не суди"," Иеремия 17:10; Иоанна 8:11; Коринфянам 11:32; Коринфянам 4:5; Луки 6:37; Матфея 7:1; Притчи 24:17-20; Псалтирь 74:6; Псалтирь 74:7; Псалтирь 74:8; Псалтирь 74:9; Римлянам 14:10; Римлянам 2:1; Римлянам 2:2–3"
"Обеспечение","1Паралипоменон 4:10;  Иоиль 2:26; Матфея 6:25-26; Матфея 6:33; Псалом 22:1-3; Псалом 33:11; Псалом 36:25; Псалом 36:3; Псалом 67:20; Филиппийцам 4:19"
"Одиночество"," Галатам 3:26; Галатам 4:6-7; Исайя 41:10; Исайя 41:13; Исайя 49:14-18; Исайя 54:3-8; Коринфянам 1:9; Псалтирь 112:5-9; Псалтирь 141:5; Псалтирь 67:6-7; Римлянам 8:15-16"
"Пасха","1 Коринфянам 15:20; 1 Коринфянам 5:7; 1 Петра 1:18-19; 1 Петра 3:18;  Евреям 9:11-12; Иоанна 1:29; Иоанна 3:16; Исход 12:26-27; Луки 22:15-16; Луки 24:5-7; Марка 16:6; Марка 9:31; Матфея 28:5-6; Римлянам 4:25; Римлянам 6:4"
"Победа с Господом","1 Иоанна 4:18; 1 Коринфянам 15:57; 1 Коринфянам 15:58; 2 Коринфянам 2:14; 2 Тимофею 1:7; 2 Тимофею 4:17; 2 Тимофею 4:18;  Галатам 5:1; Деяния 12:11; Евреям 13:5; Евреям 13:6; Ефесянам 6:11; Ефесянам 6:12; Иакова 4:7; Иеремия 39:18; Иоанна 11:40; Иоанна 14:27; Исаия 12:2; Исаия 31:1; Исаия 31:5; Исаия 35:4; Исаия 41:10; Исаия 41:13; Исаия 51:12; Исаия 51:13; Исаия 54:14; Исаия 54:15; Исаия 54:17; Луки 21:18; Луки 8:50; Марка 11:23; Марка 4:40; Михей 7:7; Михей 7:8; Притчи 10:24; Притчи 29:25; Притчи 3:26; Псалтирь 114:8; Псалтирь 117:10; Псалтирь 117:11; Псалтирь 117:13; Псалтирь 117:14; Псалтирь 117:21; Псалтирь 117:6; Псалтирь 117:7; Псалтирь 117:8; Псалтирь 117:9; Псалтирь 118:92; Псалтирь 120:2; Псалтирь 120:3; Псалтирь 120:4; Псалтирь 120:5; Псалтирь 120:6; Псалтирь 120:7; Псалтирь 120:8; Псалтирь 140:10; Псалтирь 144:20; Псалтирь 17:22; Псалтирь 17:29; Псалтирь 17:30; Псалтирь 19:9; Псалтирь 21:5; Псалтирь 21:6; Псалтирь 22:4; Псалтирь 24:2; Псалтирь 24:3; Псалтирь 26:1; Псалтирь 26:14; Псалтирь 26:2; Псалтирь 26:3; Псалтирь 29:12; Псалтирь 30:18; Псалтирь 30:25; Псалтирь 32:10; Псалтирь 33:16; Псалтирь 33:5; Псалтирь 36:24; Псалтирь 36:33; Псалтирь 36:40; Псалтирь 36:6; Псалтирь 41:12; Псалтирь 45:2; Псалтирь 49:15; Псалтирь 51:11; Псалтирь 51:3; Псалтирь 53:6; Псалтирь 53:7; Псалтирь 55:12; Псалтирь 55:4; Псалтирь 55:5; Псалтирь 56:4; Псалтирь 58:10; Псалтирь 58:11; Псалтирь 58:17; Псалтирь 88:22; Псалтирь 88:23; Псалтирь 88:24; Псалтирь 88:25; Псалтирь 90:5; Римлянам 8:37"
"Радость"," Деяния 2:46; Екклесиаст 11:8-9; Екклесиаст 5:17; Иоанна 16:24; Притчи 15:13; Притчи 15:15; Притчи 17:22; Псалтирь 104:3; Псалтирь 118:111; Псалтирь 18:9; Псалтирь 89:14"
"Рождение детей","Бытие 1:28;  Второзаконие 28:2-6; Второзаконие 7:12-14; Евреям 11:1; Евреям 11:11; Иеремия 1:12; Иеремия 29:11; Иеремия 32:27; Иоанна 16:24; Исаия 41:10; Исход 23:26; Матфея 18:18-19; Петра 5:6-7; Псалом 111:1-2; Псалом 112:9; Псалом 126:3; Псалом 127:1-4; Псалом 83:12"
"Свобода от страха"," Второзаконие 1:29-30; Евреям 13:6; Иоанна 14:27; Исаия 54:14-15; Исайя 12:2; Исайя 8:11-12; Матфея 10:29-31; Притчи 3:21; Псалом 117:6; Римлянам 8:15; Римлянам 8:38-39"
"Сила слов","1 Петра 3:10; 2 Коринфянам 4:13;  Екклесиаст 5:1; Екклесиаст 5:2; Ефесянам 4:29; Иакова 3:2-10; Иоиль 3:10; Колоссянам 3:8; Луки 6:45; Марка 11:23; Матфея 12:34; Матфея 12:35; Матфея 12:36-37; Притчи 10:31; Притчи 12:22; Притчи 13:3; Притчи 14:23; Притчи 15:2; Притчи 15:4; Притчи 17:20; Притчи 18:20; Притчи 18:21; Притчи 18:7; Притчи 21:23; Притчи 29:20; Притчи 4:24; Псалтирь 139:12; Псалтирь 140:3; Псалтирь 18:15; Псалтирь 33:13-14; Псалтирь 38:2; Псалтирь 63:9; Римлянам 4:17"
"Сон"," Притчи 3:24; Псалтирь 126:2; Псалтирь 3:6; Псалтирь 4:9"
"Терпение","1 Петра 3:3; 1 Петра 3:4;  Евреям 10:23; Евреям 10:39; Иакова 5:7; Иакова 5:8; Исаия 26:3; Притчи 16:32; Притчи 19:2; Притчи 25:28; Римлянам 5:2; Римлянам 5:3; Римлянам 5:4; Римлянам 5:5"
"Трудные дни","1 Петра 5:6-7; 1 Фессалоникийцам 5:16-18;  Иеремия 29:11-14; Матфея 11:28-30; Матфея 7:7-8; Притчи 3:5-6; Римлянам 8:28-29; Софония 3:17; Филиппийцам 4:13; Филиппийцам 4:6-7"
"Успех во время кризиса","2 Коринфянам 9:8; Бытие 26:12; Бытие 39:21-23;  Второзаконие 28:12; Второзаконие 28:8; Матфея 18:20; Притчи 3:9-10; Псалтирь 111:1-3; Псалтирь 1:1-3; Псалтирь 22:1; Псалтирь 33:9-10"
"Утешение","1 Петра 5:7; 2 Коринфянам 1:3-5; 2 Коринфянам 7:6; 2 Фессалоникийцам 2:17;  Второзаконие 4:7; Евреям 13:5; Евреям 4:16; Иеремия 31:16; Иоанна 14:1; Иоанна 14:18; Исаия 54:7; Исаия 66:13; Матфея 5:4; Откровение 21:4; Плач Иеремии 3:32-33; Псалтирь 118:50; Псалтирь 144:14; Псалтирь 146:3; Псалтирь 17:3; Псалтирь 19:2; Псалтирь 21:12; Псалтирь 21:20; Псалтирь 22:4; Псалтирь 29:6; Римлянам 15:5; Римлянам 8:28; Римлянам 8:37; Фессалоникийцам 3:3; Царств 22:7"
"Финансовое благословение","2 Коринфянам 9:10-11; 2 Коринфянам 9:6-7;  Второзакония 28:11; Второзакония 28:12; Второзакония 28:8; Иисуса Навина 1:8; Луки 6:38; Малахии 3:10; Псалма 1:1-3"
