plan_title,План чтения Библии Новый Завет +
day,reading
1,Быт 1-2; Мф 1
2,Быт 3-5; Мф 2
3,Быт 6-8; Мф 3
4,Быт 9-11; Мф 4
5,Быт 12-14; Мф 5:1-26
6,Быт 15-17; Мф 5:27-48
7,Быт 18-19; Мф 6
8,Быт 20-22; Мф 7
9,Быт 23-24; Мф 8
10,Быт 25-26; Мф 9:1-17
11,Быт 27-28; Мф 9:18-38
12,Быт 29-30; Мф 10:1-23
13,Быт 31-32; Мф 10:24-42
14,Быт 33-35; Мф 11
15,Быт 36-37; Мф 12:1-21
16,Быт 38-40; Мф 12:22-50
17,Быт 41; Мф 13:1-32
18,Быт 42-43; Мф 13:33-58
19,Быт 44-45; Мф 14:1-21
20,Быт 46-48; Мф 14:22-36
21,Быт 49-50; Мф 15:1-20
22,Исх 1-3; Мф 15:21-39
23,Исх 4-6; Мф 16
24,Исх 7-8; Мф 17
25,Исх 9-10; Мф 18:1-20
26,Исх 11-12; Мф 18:21-35
27,Исх 13-15; Мф 19:1-15
28,Исх 16-18; Мф 19:16-30
29,Исх 19-21; Мф 20:1-16
30,Исх 22-24; Мф 20:17-34
31,Исх 25-26; Мф 21:1-22
32,Исх 27-28; Мф 21:23-46
33,Исх 29-30; Мф 22:1-22
34,Исх 31-33; Мф 22:23-46
35,Исх 34-36; Мф 23:1-22
36,Исх 37-38; Мф 23:23-39
37,Исх 39-40; Мф 24:1-22
38,Лев 1-3; Мф 24:23-51
39,Лев 4-6; Мф 25:1-30
40,Лев 7-9; Мф 25:31-46
41,Лев 10-12; Мф 26:1-19
42,Лев 13; Мф 26:20-54
43,Лев 14; Мф 26:55-75
44,Лев 15-17; Мф 27:1-31
45,Лев 18-19; Мф 27:32-66
46,Лев 20-21; Мф 28
47,Лев 22-23; Мк 1:1-22
48,Лев 24-25; Мк 1:23-45
49,Лев 26-27; Мк 2
50,Чис 1-2; Мк 3:1-21
51,Чис 3-4; Мк 3:22-35
52,Чис 5-6; Мк 4:1-20
53,Чис 7; Мк 4:21-41
54,Чис 8-10; Мк 5:1-20
55,Чис 11-13; Мк 5:21-43
56,Чис 14-15; Мк 6:1-32
57,Чис 16-17; Мк 6:33-56
58,Чис 18-20; Мк 7:1-13
59,Чис 21-25; Мк 7:14-37; Мк 8:1-21
60,Чис 26-27; Мк 8:22-38
61,Чис 28-29; Мк 9:1-29
62,Чис 30-31; Мк 9:30-50
63,Чис 32-33; Мк 10:1-31
64,Чис 34-36; Мк 10:32-52
65,Втор 1-2; Мк 11:1-19
66,Втор 3-4; Мк 11:20-33
67,Втор 5-7; Мк 12:1-27
68,Втор 8-10; Мк 12:28-44
69,Втор 11-13; Мк 13:1-13
70,Втор 14-16; Мк 13:14-37
71,Втор 17-19; Мк 14:1-25
72,Втор 20-22; Мк 14:26-50
73,Втор 23-25; Мк 14:51-72
74,Втор 26-27; Мк 15:1-26
75,Втор 28; Мк 15:27-47
76,Втор 29-30; Мк 16
77,Втор 31-32; Лк 1:1-23
78,Втор 33-34; Лк 1:24-56
79,Нав 1-3; Лк 1:57-80
80,Нав 4-6; Лк 2:1-24
81,Нав 7-8; Лк 2:25-52
82,Нав 9-10; Лк 3
83,Нав 11-13; Лк 4:1-32
84,Нав 14-15; Лк 4:33-44
85,Нав 16-18; Лк 5:1-16
86,Нав 19-20; Лк 5:17-39
87,Нав 21-22; Лк 6:1-26
88,Нав 23-24; Лк 6:27-49
89,Суд 1-2; Лк 7:1-30
90,Суд 3-5; Лк 7:31-50
91,Суд 6-7; Лк 8:1-21
92,Суд 8-9; Лк 8:22-56
93,Суд 10-11; Лк 9:1-36
94,Суд 12-14; Лк 9:37-62
95,Суд 15-17; Лк 10:1-24
96,Суд 18-19; Лк 10:25-42
97,Суд 20-21; Лк 11:1-28
98,Руф 1-4; Лк 11:29-54
99,Первая Царств1-3; Лк 12:1-34
100,Первая Царств4-6; Лк 12:35-59
101,Первая Царств7-9; Лк 13:1-21
102,Первая Царств10-12; Лк 13:22-35
103,Первая Царств13-14; Лк 14:1-24
104,Первая Царств15-16; Лк 14:25-35
105,Первая Царств17-18; Лк 15:1-10
106,Первая Царств19-21; Лк 15:11-32
107,Первая Царств22-24; Лк 16:1-18
108,Первая Царств25-26; Лк 16:19-31
109,Первая Царств27-29; Лк 17:1-19
110,Первая Царств30-31; Лк 17:20-37
111,2Цар 1-3; Лк 18:1-17
112,2Цар 4-6; Лк 18:18-43
113,2Цар 7-9; Лк 19:1-28
114,2Цар 10-12; Лк 19:29-48
115,2Цар 13-14; Лк 20:1-26
116,2Цар 15-16; Лк 20:27-47
117,2Цар 17-18; Лк 21:1-19
118,2Цар 19-20; Лк 21:20-38
119,2Цар 21-22; Лк 22:1-30
120,2Цар 23-24; Лк 22:31-53
121,3Цар 1-2; Лк 22:54-71
122,3Цар 3-5; Лк 23:1-26
123,3Цар 6-7; Лк 23:27-38
124,3Цар 8-9; Лк 23:39-56
125,3Цар 10-11; Лк 24:1-35
126,3Цар 12-13; Лк 24:36-53
127,3Цар 14-15; Ин 1:1-28
128,3Цар 16-18; Ин 1:29-51
129,3Цар 19-20; Ин 2
130,3Цар 21-22; Ин 3:1-21
131,4Цар 1-3; Ин 3:22-36
132,4Цар 4-5; Ин 4:1-30
133,4Цар 6-8; Ин 4:31-54
134,4Цар 9-11; Ин 5:1-24
135,4Цар 12-14; Ин 5:25-47
136,4Цар 15-17; Ин 6:1-21
137,4Цар 18-19; Ин 6:22-44
138,4Цар 20-22; Ин 6:45-71
139,4Цар 23-25; Ин 7:1-31
140,1Пар 1-2; Ин 7:32-53
141,1Пар 3-5; Ин 8:1-20
142,1Пар 6-7; Ин 8:21-36
143,1Пар 8-10; Ин 8:37-59
144,1Пар 11-13; Ин 9:1-23
145,1Пар 14-16; Ин 9:24-41
146,1Пар 17-19; Ин 10:1-21
147,1Пар 20-22; Ин 10:22-42
148,1Пар 23-25; Ин 11:1-17
149,1Пар 26-27; Ин 11:18-46
150,1Пар 28-29; Ин 11:47-57
151,2Пар 1-3; Ин 12:1-19
152,2Пар 4-6; Ин 12:20-50
153,2Пар 7-9; Ин 13:1-17
154,2Пар 10-12; Ин 13:18-38
155,2Пар 13-16; Ин 14
156,2Пар 17-19; Ин 15
157,2Пар 20-22; Ин 16:1-15
158,2Пар 23-25; Ин 16:16-33
159,2Пар 26-28; Ин 17
160,2Пар 29-31; Ин 18:1-23
161,2Пар 32-33; Ин 18:24-40
162,2Пар 34-36; Ин 19:1-22
163,Езд 1-2; Ин 19:23-42
164,Езд 3-5; Ин 20
165,Езд 6-8; Ин 21
166,Езд 9-10; Деян 1
167,Неемии1-3; Деян 2:1-13
168,Неемии4-6; Деян 2:14-47
169,Неемии7-8; Деян 3
170,Неемии9-11; Деян 4:1-22
171,Неемии12-13; Деян 4:23-37
172,Есф 1-3; Деян 5:1-16
173,Есф 4-6; Деян 5:17-42
174,Есф 7-10; Деян 6
175,Иов 1-3; Деян 7:1-19
176,Иов 4-6; Деян 7:20-43
177,Иов 7-9; Деян 7:44-60
178,Иов 10-12; Деян 8:1-25
179,Иов 13-15; Деян 8:26-40
180,Иов 16-18; Деян 9:1-22
181,Иов 19-20; Деян 9:23-43
182,Иов 21-22; Деян 10:1-23
183,Иов 23-25; Деян 10:24-48
184,Иов 26-28; Деян 11
185,Иов 29-30; Деян 12
186,Иов 31-32; Деян 13:1-23
187,Иов 33-34; Деян 13:24-52
188,Иов 35-37; Деян 14
189,Иов 38-39; Деян 15:1-21
190,Иов 40-42; Деян 15:22-41
191,Псалтырь1-3; Деян 16:1-15
192,Псалтырь4-6; Деян 16:16-40
193,Псалтырь7-9; Деян 17:1-15
194,Псалтырь10-12; Деян 17:16-34
195,Псалтырь13-16; Деян 18
196,Псалтырь17-18; Деян 19:1-20
197,Псалтырь19-21; Деян 19:21-41
198,Псалтырь22-24; Деян 20:1-16
199,Псалтырь25-27; Деян 20:17-38
200,Псалтырь28-30; Деян 21:1-14
201,Псалтырь31-33; Деян 21:15-40
202,Псалтырь34-35; Деян 22
203,Псалтырь36-37; Деян 23:1-11
204,Псалтырь38-40; Деян 23:12-35
205,Псалтырь41-43; Деян 24
206,Псалтырь44-46; Деян 25
207,Псалтырь47-49; Деян 26
208,Псалтырь50-52; Деян 27:1-25
209,Псалтырь53-55; Деян 27:26-44
210,Псалтырь56-58; Деян 28:1-15
211,Псалтырь59-61; Деян 28:16-31
212,Псалтырь62-64; Рим 1
213,Псалтырь65-67; Рим 2
214,Псалтырь68-69; Рим 3
215,Псалтырь70-72; Рим 4
216,Псалтырь73-74; Рим 5
217,Псалтырь75-77; Рим 6
218,Псалтырь78; Рим 7
219,Псалтырь79-81; Рим 8:1-18
220,Псалтырь82-84; Рим 8:19-39
221,Псалтырь85-87; Рим 9
222,Псалтырь88-89; Рим 10
223,Псалтырь90-92; Рим 11:1-21
224,Псалтырь93-95; Рим 11:22-36
225,Псалтырь96-98; Рим 12
226,Псалтырь99-102; Рим 13
227,Псалтырь103-104; Рим 14
228,Псалтырь105-106; Рим 15:1-21
229,Псалтырь107-108; Рим 15:22-33
230,Псалтырь109-111; Рим 16
231,Псалтырь112-115; 1Кор 1
232,Псалтырь116-118; 1Кор 2
233,Псалтырь119:1-48; 1Кор 3
234,Псалтырь119:49-104; 1Кор 4
235,Псалтырь119:105-176; 1Кор 5
236,Псалтырь120-123; 1Кор 6
237,Псалтырь124-127; 1Кор 7:1-24
238,Псалтырь128-131; 1Кор 7:25-40
239,Псалтырь132-135; 1Кор 8
240,Псалтырь136-138; 1Кор 9
241,Псалтырь139-141; 1Кор 10:1-13
242,Псалтырь142-144; 1Кор 10:14-33
243,Псалтырь145-147; 1Кор 11:1-15
244,Псалтырь148-150; 1Кор 11:16-34
245,Прит 1-2; 1Кор 12
246,Прит 3-4; 1Кор 13
247,Прит 5-6; 1Кор 14:1-20
248,Прит 7-8; 1Кор 14:21-40
249,Прит 9-10; 1Кор 15:1-32
250,Прит 11-12; 1Кор 15:33-58
251,Прит 13-14; 1Кор 16
252,Прит 15-16; 2Кор 1
253,Прит 17-18; 2Кор 2
254,Прит 19-20; 2Кор 3
255,Прит 21-22; 2Кор 4
256,Прит 23-24; 2Кор 5
257,Прит 25-27; 2Кор 6
258,Прит 28-29; 2Кор 7
259,Прит 30-31; 2Кор 8
260,Еккл 1-3; 2Кор 9
261,Еккл 4-6; 2Кор 10
262,Еккл 7-9; 2Кор 11:1-15
263,Еккл 10-12; 2Кор 11:16-33
264,Песн 1-3; 2Кор 12
265,Песн 4-5; 2Кор 13
266,Песн 6-8; Гал 1
267,Ис 1-3; Гал 2
268,Ис 4-6; Гал 3
269,Ис 7-9; Гал 4
270,Ис 10-12; Гал 5
271,Ис 13-15; Гал 6
272,Ис 16-18; Еф 1
273,Ис 19-21; Еф 2
274,Ис 22-23; Еф 3
275,Ис 24-26; Еф 4
276,Ис 27-28; Еф 5
277,Ис 29-30; Еф 6
278,Ис 31-33; Флп 1
279,Ис 34-36; Флп 2
280,Ис 37-38; Флп 3
281,Ис 39-40; Флп 4
282,Ис 41-42; Кол 1
283,Ис 43-44; Кол 2
284,Ис 45-47; Кол 3
285,Ис 48-49; Кол 4
286,Ис 50-52; Первое послание к Фессалоникийцам1
287,Ис 53-55; Первое послание к Фессалоникийцам2
288,Ис 56-58; Первое послание к Фессалоникийцам3
289,Ис 59-61; Первое послание к Фессалоникийцам4
290,Ис 62-64; Первое послание к Фессалоникийцам5
291,Ис 65-66; 2Фес 1
292,Иер 1-2; 2Фес 2
293,Иер 3-4; 2Фес 3
294,Иер 5-6; 1Тим 1
295,Иер 7-8; 1Тим 2
296,Иер 9-10; 1Тим 3
297,Иер 11-13; 1Тим 4
298,Иер 14-16; 1Тим 5
299,Иер 17-19; 1Тим 6
300,Иер 20-22; 2Тим 1
301,Иер 23-24; 2Тим 2
302,Иер 25-26; 2Тим 3
303,Иер 27-28; 2Тим 4
304,Иер 29-30; Тит 1
305,Иер 31-32; Тит 2
306,Иер 33-35; Тит 3
307,Иер 36-37; Флм
308,Иер 38-39; Евр 1
309,Иер 40-42; Евр 2
310,Иер 43-45; Евр 3
311,Иер 46-48; Евр 4
312,Иер 49-50; Евр 5
313,Иер 51-52; Евр 6
314,Плач 1-2; Евр 7
315,Плач 3-5; Евр 8
316,Иез 1-3; Евр 9
317,Иез 4-6; Евр 10:1-23
318,Иез 7-9; Евр 10:24-39
319,Иез 10-12; Евр 11:1-19
320,Иез 13-15; Евр 11:20-40
321,Иез 16; Евр 12
322,Иез 17-19; Евр 13
323,Иез 20-21; Послание апостола Иакова 1
324,Иез 22-23; Послание апостола Иакова 2
325,Иез 24-26; Послание апостола Иакова 3
326,Иез 27-28; Послание апостола Иакова 4
327,Иез 29-31; Послание апостола Иакова 5
328,Иез 32-33; 1Пет 1
329,Иез 34-35; 1Пет 2
330,Иез 36-37; 1Пет 3
331,Иез 38-39; 1Пет 4
332,Иез 40; 1Пет 5
333,Иез 41-42; 2Пет 1
334,Иез 43-44; 2Пет 2
335,Иез 45-46; 2Пет 3
336,Иез 47-48; 1 Ин 1
337,Дан 1-2; 1 Ин 2
338,Дан 3-4; 1 Ин 3
339,Дан 5-6; 1 Ин 4
340,Дан 7-8; 1 Ин 5
341,Дан 9-10; 2 Ин
342,Дан 11-12; 3 Ин
343,Ос 1-4; Евр
344,Ос 5-8; Откровение 1
345,Ос 9-11; Откровение 2
346,Ос 12-14; Откровение 3
347,Иоил ; Откровение 4
348,Ам 1-3; Откровение 5
349,Ам 4-6; Откровение 6
350,Ам 7-9; Откровение 7
351,Авд ; Откровение 8
352,Ион; Откровение 9
353,Мих 1-3; Откровение 10
354,Мих 4-5; Откровение 11
355,Мих 6-7; Откровение 12
356,Наум ; Откровение 13
357,Авв ; Откровение 14
358,Соф; Откровение 15
359,Агг; Откровение 16
360,Зах 1-3; Откровение 17
361,Зах 4-6; Откровение 18
362,Зах 7-9; Откровение 19
363,Зах 10-12; Откровение 20
364,Зах 13-14; Откровение 21
365,Мал; Откровение 22
